class,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,X,Y
Water,1042,1016,1022,1020,1166,1144,1047,1010,349792.291,3766909.905
Water,1034,1028,1005,1021,1132,1138,1058,1001,349788.246,3766865.808
Water,1033,1032,1012,1023,1143,1153,1043,1010,349772.775,3766867.342
Water,1042,1016,1022,1020,1166,1144,1047,1010,349791.958,3766906.747
Water,1041,1036,1010,1024,1140,1157,1053,1018,349771.730,3766882.353
Water,1047,1021,1007,1016,1150,1132,1039,1027,349821.171,3766868.643
Water,1038,1020,1020,1020,1136,1158,1037,1010,349802.275,3766909.134
Water,1043,1023,1010,1022,1144,1112,1050,1022,349786.891,3766888.219
Water,1038,1026,1005,1023,1147,1116,1047,1009,349788.963,3766875.206
Water,1039,1032,1008,1012,1165,1135,1021,1014,349807.629,3766852.380
Water,1032,1029,1011,1016,1138,1128,1042,1009,349789.869,3766855.693
Water,1037,1028,1021,1023,1154,1131,1052,1005,349778.150,3766908.545
Water,1043,1029,1014,1017,1153,1136,1045,1025,349756.058,3766862.658
Water,1030,1025,1013,1018,1182,1140,1044,1030,349773.903,3766849.586
Water,1038,1026,1005,1023,1147,1116,1047,1009,349789.322,3766870.878
Water,1038,1028,1002,1017,1122,1121,1044,1006,349791.177,3766862.132
Water,1043,1019,1016,1018,1146,1164,1031,1011,349804.221,3766894.095
Water,1039,1032,1008,1012,1165,1135,1021,1014,349805.766,3766859.480
Water,1032,1029,1011,1016,1138,1128,1042,1009,349780.808,3766856.991
Water,1048,1027,1005,1012,1162,1107,1033,1013,349811.651,3766876.539
Water,1039,1032,1008,1012,1165,1135,1021,1014,349809.268,3766854.857
Water,1047,1029,1004,1012,1162,1130,1054,1005,349811.374,3766866.589
Water,1047,1021,1007,1016,1150,1132,1039,1027,349822.571,3766866.041
Water,1033,1032,1012,1023,1143,1153,1043,1010,349775.652,3766862.617
Water,1034,1028,1005,1021,1132,1138,1058,1001,349789.729,3766864.365
Water,1033,1026,1014,1019,1118,1136,1050,1008,349763.335,3766852.865
Water,1046,1021,1011,1016,1123,1144,1031,1012,349808.341,3766888.959
Water,1041,1036,1010,1024,1140,1157,1053,1018,349777.045,3766887.213
Water,1043,1031,1003,1013,1147,1133,1038,1011,349808.029,3766860.662
